filename,last_update_time,success,process_time,retry_count
poorstock_2301_光寶科.md,2025-09-08 03:40:52,True,2025-09-08 03:40:52,3
poorstock_2303_聯電.md,2025-09-08 03:41:09,True,2025-09-08 03:41:09,3
poorstock_2308_台達電.md,2025-09-08 03:41:25,True,2025-09-08 03:41:25,3
poorstock_2317_鴻海.md,2025-09-03 10:28:01,True,2025-09-03 10:28:01,0
poorstock_2324_仁寶.md,2025-09-08 03:41:42,True,2025-09-08 03:41:42,3
poorstock_2330_台積電.md,2025-09-08 03:42:00,True,2025-09-08 03:42:00,3
poorstock_2332_友訊.md,2025-09-08 03:42:18,True,2025-09-08 03:42:18,3
poorstock_2345_智邦.md,2025-09-08 03:42:35,True,2025-09-08 03:42:35,3
poorstock_2347_聯強.md,2025-09-08 03:42:51,True,2025-09-08 03:42:51,3
poorstock_2353_宏碁.md,2025-09-08 03:43:08,True,2025-09-08 03:43:08,3
poorstock_2354_鴻準.md,2025-09-03 10:29:19,True,2025-09-03 10:29:19,0
poorstock_2356_英業達.md,2025-09-08 03:43:26,True,2025-09-08 03:43:26,3
poorstock_2357_華碩.md,2025-09-08 03:43:43,True,2025-09-08 03:43:43,3
poorstock_2359_所羅門.md,2025-09-08 03:44:00,True,2025-09-08 03:44:00,3
poorstock_2376_技嘉.md,2025-09-08 03:44:18,True,2025-09-08 03:44:18,3
poorstock_2377_微星.md,2025-09-08 03:44:35,True,2025-09-08 03:44:35,3
poorstock_2379_瑞昱.md,2025-09-08 03:44:52,True,2025-09-08 03:44:52,3
poorstock_2382_廣達.md,2025-09-03 10:30:37,True,2025-09-03 10:30:37,0
poorstock_2383_台光電.md,2025-09-08 03:45:10,True,2025-09-08 03:45:10,3
poorstock_2395_研華.md,2025-09-08 03:45:28,True,2025-09-08 03:45:28,3
poorstock_2405_輔信.md,2025-09-08 03:45:45,True,2025-09-08 03:45:45,3
poorstock_2412_中華電.md,2025-09-08 03:46:02,True,2025-09-08 03:46:02,3
poorstock_2449_京元電子.md,2025-09-08 03:46:20,True,2025-09-08 03:46:20,3
